name,responsibility,salary_from,salary_to,currency,url,area_name
Менеджер по работе с клиентами в сервисный центр                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Консультация клиентов по вопросам ремонта электронных весов и другой весоизмерительной техники по телефону и при визите клиента в сервисный центр.                                                                                                                                                                                                                                                                                                                                                                              ,25000,0,RUR                                                             ,https://hh.ru/vacancy/28118893                                                                                                  ,Россия                                                          
Инженер ОТК / Специалист ОТК                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,"Организация работы по контролю и повышению качества продукции РЭА. Контроль за испытаниями готовых изделий, приемка готовой товарной продукции.                                                                                                                                                                                                                                                                                                                                                                                 ",30000,0,RUR                                                             ,https://hh.ru/vacancy/28474811                                                                                                  ,Россия                                                          
Офис-менеджер                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Выполнение распоряжений директора, ведение документации, поддержание порядка в офисе (есть техничка) ведение документации товарных ценностей на складе (в электронном виде...                                                                                                                                                                                                                                                                                                                                                   ",20000,25000,RUR                                                             ,https://hh.ru/vacancy/28474803                                                                                                  ,Россия                                                          
Специалист по работе с клиентами ( без продаж)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,"Исходящий обзвон по актуальной базе. Выявление потребности , передача контактов в отдел продаж. Выполнять план по переданным контактам. Работать в CRM...                                                                                                                                                                                                                                                                                                                                                                       ",23000,30000,RUR                                                             ,https://hh.ru/vacancy/27981984                                                                                                  ,Россия                                                          
Воспитатель                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Сопровождение ребенка с РАС в общеобразовательной школе( 1 класс). Ведение сопроводительной документации.                                                                                                                                                                                                                                                                                                                                                                                                                       ,10000,12000,RUR                                                             ,https://hh.ru/vacancy/28474796                                                                                                  ,Россия                                                          
Электромонтер                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,Выполнение работ по ремонту и обслуживанию электрооборудования.                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,17400,0,RUR                                                             ,https://hh.ru/vacancy/28190062                                                                                                  ,Россия                                                          
Столяр-станочник                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,Изготовление на деревообрабатывающем станке заготовок и деталей из дерева.                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,14200,0,RUR                                                             ,https://hh.ru/vacancy/28190296                                                                                                  ,Россия                                                          
Слесарь КИПиА                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,"Наладка, ремонт и обслуживание контрольно-измерительных приборов и автоматики.                                                                                                                                                                                                                                                                                                                                                                                                                                                  ",14800,0,RUR                                                             ,https://hh.ru/vacancy/28190352                                                                                                  ,Россия                                                          
Машинист экскаватора                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,"Управление экскаватором. Разработка грунта, котлованов, рытье траншей.                                                                                                                                                                                                                                                                                                                                                                                                                                                          ",20000,0,RUR                                                             ,https://hh.ru/vacancy/28190605                                                                                                  ,Россия                                                          
Оператор на фильтрах                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Обслуживание оборудования по фильтрованию воды.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,11000,0,RUR                                                             ,https://hh.ru/vacancy/28191061                                                                                                  ,Россия                                                          
Контролер водопроводного хозяйства                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Осуществлять контроль и своевременное, правильное снятие показаний приборов учета всех систем и калибров, установленных на водопроводных сетях абонентов.                                                                                                                                                                                                                                                                                                                                                                       ",12800,0,RUR                                                             ,https://hh.ru/vacancy/28189966                                                                                                  ,Россия                                                          
Официант                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,20000,0,RUR                                                             ,https://career.ru/vacancy/28474876                                                                                              ,Россия                                                          
Официант                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,20000,0,RUR                                                             ,https://career.ru/vacancy/28474877                                                                                              ,Россия                                                          
Специалист-эксперт                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,"Первичная экспертиза. Прием, обработка, выдача документов. Подготовка писем, уведомлений. Работа с архивом, делопроизводство.                                                                                                                                                                                                                                                                                                                                                                                                   ",15000,20000,RUR                                                             ,https://hh.ru/vacancy/28474871                                                                                                  ,Россия                                                          
Администратор Спортивного Клуба                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,"Встречать гостей Клуба. * Вести запись на тренировки, в массажный Кабинет, барбершоп. * Приготовление спортивного питания (Коктейли). * Вести клиентскую базу. *                                                                                                                                                                                                                                                                                                                                                                ",20000,25000,RUR                                                             ,https://hh.ru/vacancy/28474872                                                                                                  ,Россия                                                          
Менеджер интернет-магазина                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,Обработка заказов. Отправка реестров для курьерской службы. Вызов курьера. Создание заказов в сдек. Ведение таблиц. Ведение еженедельной статистики по заказам.                                                                                                                                                                                                                                                                                                                                                                 ,15000,0,RUR                                                             ,https://hh.ru/vacancy/28474865                                                                                                  ,Россия                                                          
Разнорабочий                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,null                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,30000,0,RUR                                                             ,https://hh.ru/vacancy/28474853                                                                                                  ,Россия                                                          
Специалист по кадровому делопроизводству                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,"Ведение кадрового делопроизводства по гражданам РФ и СНГ. Подготовка справок, ЛНА. Заполнение трудовых книжек. Участие в ведении зарплатного проекта.                                                                                                                                                                                                                                                                                                                                                                           ",30000,0,RUR                                                             ,https://hh.ru/vacancy/28027311                                                                                                  ,Россия                                                          
Пеший курьер (Восстания)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,Доставка готовой продукции (блюда японской кухни) клиентам в пределах пешей доступности от торговой точки. Запись на собеседование не обязательна!                                                                                                                                                                                                                                                                                                                                                                              ,25000,30000,RUR                                                             ,https://career.ru/vacancy/28348973                                                                                              ,Россия                                                          
Контент-менеджер                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,"Контент-планирование, подготовка контента для сайта компании, Youtube, SMM. Поиск и создание инфоповодов. Контроль актуальности информации на сайте компании.                                                                                                                                                                                                                                                                                                                                                                   ",25000,0,RUR                                                             ,https://hh.ru/vacancy/27690884                                                                                                  ,Россия                                                          
